study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	library_selection	base_count	experiment_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
PRJEB55353	SAMEA110648777	ERS12746359	ERX9624223	ERR10084057	ERA17007146	3702	Arabidopsis thaliana	RANDOM	9356537226	webin-reads-ANGE-B-10_DNA	webin-reads-ANGE-B-10_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/057/ERR10084057/ERR10084057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084057/ANGE-B-10.q20.fastq.gz		ANGE-B-10 DNA
PRJEB55353	SAMEA110648785	ERS12746367	ERX9624224	ERR10084058	ERA17007147	3702	Arabidopsis thaliana	RANDOM	8518800880	webin-reads-BARC-A-17_DNA	webin-reads-BARC-A-17_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/058/ERR10084058/ERR10084058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084058/BARC-A-17.q20.fastq.gz		BARC-A-17 DNA
PRJEB55353	SAMEA110648817	ERS12746399	ERX9624239	ERR10084073	ERA17007162	3702	Arabidopsis thaliana	RANDOM	15651319295	webin-reads-IP-Med-0_DNA	webin-reads-IP-Med-0_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/073/ERR10084073/ERR10084073.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084073/Med-0.q20.fastq.gz		IP-Med-0 DNA
PRJEB55353	SAMEA110648794	ERS12746376	ERX9624242	ERR10084076	ERA17007166	3702	Arabidopsis thaliana	RANDOM	7881558181	webin-reads-LACR-C-14_DNA	webin-reads-LACR-C-14_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/076/ERR10084076/ERR10084076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084076/LACR-C-14.q20.fastq.gz		LACR-C-14 DNA
PRJEB55353	SAMEA110648780	ERS12746362	ERX9624768	ERR10084602	ERA17007309	3702	Arabidopsis thaliana	RANDOM	11783385462	webin-reads-BANI-C-1_DNA	webin-reads-BANI-C-1_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/002/ERR10084602/ERR10084602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084602/BANI-C-1.q20.fastq.gz		BANI-C-1 DNA
PRJEB55353	SAMEA110648812	ERS12746394	ERX9625070	ERR10084904	ERA17008220	3702	Arabidopsis thaliana	RANDOM	0	webin-reads-IP-Evs-12_DNA	webin-reads-IP-Evs-12_DNA		ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084904/Evs-12.q20.fastq.gz		IP-Evs-12 DNA
PRJEB55353	SAMEA110648803	ERS12746385	ERX9625083	ERR10084917	ERA17008689	3702	Arabidopsis thaliana	RANDOM	0	webin-reads-Tanz-1_(10024)_DNA	webin-reads-Tanz-1_(10024)_DNA		ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084917/Tanz-1.q20.fastq.gz		Tanz-1 (10024) DNA
PRJEB55353	SAMEA110648814	ERS12746396	ERX9625097	ERR10084931	ERA17009486	3702	Arabidopsis thaliana	RANDOM	11291502578	webin-reads-IP-Hum-4_DNA	webin-reads-IP-Hum-4_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/031/ERR10084931/ERR10084931.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084931/Hum-4.q20.fastq.gz		IP-Hum-4 DNA
PRJEB55353	SAMEA110648806	ERS12746388	ERX9625114	ERR10084948	ERA17009513	3702	Arabidopsis thaliana	RANDOM	9675969411	webin-reads-IP-Cat-0_(9832)_DNA	webin-reads-IP-Cat-0_(9832)_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/048/ERR10084948/ERR10084948.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084948/Cat-0.q20.fastq.gz		IP-Cat-0 (9832) DNA
PRJEB55353	SAMEA110648807	ERS12746389	ERX9625118	ERR10084952	ERA17009521	3702	Arabidopsis thaliana	RANDOM	13019442281	webin-reads-IP-Evs-0_(9845)_DNA	webin-reads-IP-Evs-0_(9845)_DNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/052/ERR10084952/ERR10084952.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10084952/Evs-0.q20.fastq.gz		IP-Evs-0 (9845) DNA
